2026-03-02 12:09 Расход - 4000 - Тверская 14 === Операция проведена: admin, ID записи: 12261, Сумма: 4000, Вид платежа: Смешанный расчет, Описание: Расход при скупке лома по операции ID: 12260
2026-03-02 12:19 Расход - 4000 - Тверская 14 === Операция проведена: admin, ID записи: 12263, Сумма: 4000, Вид платежа: Наличный расчет, Описание: Расход при скупке лома по операции ID: 12262
2026-03-02 12:21 Расход - 4000 - Тверская 14 === Операция проведена: admin, ID записи: 12265, Сумма: 4000, Вид платежа: Смешанный расчет, Описание: Расход при скупке лома по операции ID: 12264
2026-03-02 12:23 Расход - 4000 - Тверская 14 === Операция проведена: admin, ID записи: 12267, Сумма: 4000, Вид платежа: Смешанный расчет, Описание: Расход при скупке лома по операции ID: 12266
2026-03-10 18:22 Расход - 3000.00 - Тверская 14 === Операция проведена: admin, ID записи: 0, Сумма: 3000.00, Вид платежа: Наличный расчет, Описание: Расход при мульти скупке лома по операции ID: 12272
2026-03-10 18:33 Расход - 3000.00 - Тверская 14 === Операция проведена: admin, ID записи: 0, Сумма: 3000.00, Вид платежа: Наличный расчет, Описание: Расход при мульти скупке лома по операции ID: 12274
2026-03-10 18:40 Расход - 3000.00 - Тверская 14 === Операция проведена: admin, ID записи: 0, Сумма: 3000.00, Вид платежа: Наличный расчет, Описание: Расход при мульти скупке лома по операции ID: 12278
2026-03-11 11:32 Расход - 11000.00 - Тверская 14 === Операция проведена: admin, ID записи: 0, Сумма: 11000.00, Вид платежа: Наличный расчет, Описание: Расход при мульти скупке лома по операции ID: 12283
2026-03-12 11:31 Расход - 3000.00 - Тверская 14 === Операция проведена: admin, ID записи: 0, Сумма: 3000.00, Вид платежа: Смешанный расчет, Описание: Расход при мульти скупке лома по операции ID: 12289
